plot,count
23,2
24,1
25,2
26,12
27,0
28,3
29,0
30,0
31,1
32,4
33,0
34,13
35,2
36,1
37,0
38,0
39,1
40,0
41,0
42,0
43,1
44,0
45,0
46,3
47,1
48,0
49,0
50,0
1,1
2,2
3,1
4,3
5,0
6,18
7,8
8,0
9,0
10,0
11,0
12,0
13,0
14,1
15,0
16,1
17,0
18,0
19,14
20,4
21,0
22,0
23,1
24,4
25,0
26,0
27,0
28,0
29,2
30,11
31,0
32,4
33,0
34,0
35,0
36,0
37,0
38,4
39,7
40,0
41,0
42,1
43,0
44,0
45,0
46,0
47,0
48,2
49,13
50,5
1,15
2,4
3,7
6,0
8,1
9,7
10,10
11,16
12,1
13,7
14,0
15,3
16,0
17,6
18,12
19,4
20,6
21,10
22,23
23,9
24,10
25,11
26,0
27,0
28,0
29,0
30,3
31,2
32,9
33,12
34,2
35,11
36,1
37,4
38,0
39,12
40,1
42,10
43,8
44,11
45,11
46,26
47,12
48,14
49,9
50,2
1,10
2,4
3,1
4,1
5,4
6,8
7,1
8,19
9,0
10,4
11,3
12,0
13,24
14,2
15,0
16,0
17,8
18,5
19,0
20,3
21,4
22,0
23,0
24,0
25,1
26,1
27,7
28,6
29,2
30,2
31,3
32,2
33,0
34,2
35,0
36,3
37,2
38,9
39,2
40,1
41,1
42,0
43,4
44,3
45,5
46,3
47,12
48,29
49,4
50,9
1,4
2,4
4,24
5,6
6,22
7,1
8,23
9,5
10,24
11,33
12,3
13,8
14,12
15,37
16,5
17,28
18,42
19,3
20,5
21,5
22,4
23,11
24,31
25,8
26,13
27,0
28,9
29,19
30,0
31,31
32,5
33,4
34,34
35,21
36,2
37,24
38,18
39,6
40,2
41,1
42,16
43,13
44,26
45,22
46,10
47,0
48,13
49,37
50,15
1,0
2,0
3,3
4,41
5,7
6,4
7,6
8,30
9,46
10,15
11,6
12,0
13,19
14,16
15,29
16,6
17,23
18,6
19,20
20,38
21,0
22,5
23,1
24,1
25,0
26,5
27,12
28,10
29,32
30,2
31,1
32,0
33,0
34,0
35,2
36,1
37,4
38,11
39,12
40,7
41,18
42,1
43,13
44,2
45,46
46,1
47,5
48,0
49,0
50,15
1,11
2,7
3,22
4,21
5,7
6,1
7,44
8,13
9,9
10,0
11,11
12,12
13,2
14,28
15,84
16,14
17,11
18,42
19,11
20,7
21,6
22,2
23,8
24,5
25,50
26,18
27,18
28,21
29,4
30,32
31,19
32,13
33,8
34,12
35,1
36,11
37,2
38,24
39,14
40,18
41,8
42,11
43,19
44,4
45,4
46,30
47,30
48,18
49,21
50,13
1,34
2,17
3,68
4,15
5,12
6,39
7,3
8,11
9,28
11,43
12,21
13,0
14,29
15,109
16,5
17,6
18,10
19,2
20,4
21,8
22,11
23,1
24,31
25,6
26,0
27,3
28,9
29,40
30,15
31,4
32,5
33,1
34,7
35,5
36,79
37,49
38,95
39,28
40,37
41,0
42,15
43,1
44,0
45,0
46,19
47,71
48,3
49,24
50,2
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,1
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,1
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
1,1
3,16
4,46
5,18
6,3
7,2
8,6
9,0
10,11
11,9
13,0
14,1
15,3
16,9
17,10
18,12
19,4
20,13
21,5
22,7
23,9
24,5
25,2
26,3
